Nblock,condsFile,grouping,Block,TrialBlock,N,trialN,trialCond,gazeCon,gazedirR,corrBinR,corrBinP,valLBY,valRBY,diff,colorCube,feedbacktext,corrAns,imageL,imageR,SelBlocks.thisRepN,SelBlocks.thisTrialN,SelBlocks.thisN,SelBlocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,waitCube.started,waitCube.stopped,text_3.started,text_3.stopped,StartKeyPress.keys,StartKeyPress.rt,StartKeyPress.started,StartKeyPress.stopped,StimL.started,StimL.stopped,StimR.started,StimR.stopped,imageStim2L.started,imageStim2L.stopped,imageStim2R.started,imageStim2R.stopped,RTkeyRelease,imageStim3L.started,imageStim3L.stopped,imageStim3R.started,imageStim3R.stopped,dropResp.keys,dropResp.corr,dropResp.rt,dropResp.started,dropResp.stopped,imageStim5L.started,imageStim5L.stopped,imageStim5R.started,imageStim5R.stopped,text_2.started,text_2.stopped,ReturnSpace.keys,ReturnSpace.rt,ReturnSpace.started,ReturnSpace.stopped,totalpoints,textFeedback.started,textFeedback.stopped,participant,group,session,date,expName,psychopyVersion,frameRate,
1,Block809.xls,B,9,1,93,93,None,congruent,Right,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Y.jpeg,/home/docky/apps/exp/images/79Yi.jpeg,0,0,0,0,0,0,0,0,39.2547329309964,None,39.2547329309964,None,1,18.955969702001312,39.2547329309964,None,58.24455549699633,None,58.24455549699633,None,60.761314691000734,None,60.761314691000734,None,1.1162807460059412,62.56068828499701,None,62.56068828499701,None,5,1,0.9345758209965425,63.66472435399919,None,63.66472435399919,None,63.66472435399919,None,64.6161644620006,None,1,0.6179774859992904,64.6161644620006,None,2,65.25028123399534,None,106,B,1,2021_May_20_1807,GazeFlow,2020.1.2,59.90809965553004,
1,Block809.xls,B,9,2,15,15,None,congruent,Left,Left,Right,38,39,1,blue,2,6,/home/docky/apps/exp/images/38B.jpeg,/home/docky/apps/exp/images/39Bi.jpeg,0,0,0,0,0,1,1,1,66.25237342099717,None,66.25237342099717,None,1,4.459933689999161,66.25237342099717,None,70.73134847199981,None,70.73134847199981,None,73.24863854599971,None,73.24863854599971,None,1.2505423159964266,75.05230547500105,None,75.05230547500105,None,6,1,1.051612187999126,76.28919121899526,None,76.28919121899526,None,76.28919121899526,None,77.3575180869957,None,1,0.6353377030027332,77.3575180869957,None,4,78.00911851500132,None,106,B,1,2021_May_20_1807,GazeFlow,2020.1.2,59.90809965553004,
1,Block809.xls,B,9,3,117,21,None,incongruent,Left,Right,Left,39,38,1,yellow,2,5,/home/docky/apps/exp/images/39Yi.jpeg,/home/docky/apps/exp/images/38Y.jpeg,0,0,0,0,0,2,2,2,79.01066429299681,None,79.01066429299681,None,1,4.609536551004567,79.01066429299681,None,83.65360181900178,None,83.65360181900178,None,86.15715665499738,None,86.15715665499738,None,1.2337869689945364,87.96026394199725,None,87.96026394199725,None,5,1,0.9009743319984409,89.18096332099958,None,89.18096332099958,None,89.18096332099958,None,90.09858881100081,None,1,0.6019632259994978,90.09858881100081,None,6,90.71703530599916,None,106,B,1,2021_May_20_1807,GazeFlow,2020.1.2,59.90809965553004,
1,Block809.xls,B,9,4,94,94,None,congruent,Right,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Y.jpeg,/home/docky/apps/exp/images/79Yi.jpeg,0,0,0,0,0,3,3,3,91.71865090500069,None,91.71865090500069,None,1,4.559516606001125,91.71865090500069,None,96.31186198799696,None,96.31186198799696,None,98.81496082699596,None,98.81496082699596,None,1.3175430849951226,100.61321596599737,None,100.61321596599737,None,5,1,0.934409236004285,101.9224612830003,None,101.9224612830003,None,101.9224612830003,None,102.87360973199975,None,1,0.6022100760019384,102.87360973199975,None,8,103.49182574999577,None,106,B,1,2021_May_20_1807,GazeFlow,2020.1.2,59.90809965553004,
1,Block809.xls,B,9,5,41,41,None,congruent,Right,Right,Left,79,76,3,blue,2,5,/home/docky/apps/exp/images/79Bi.jpeg,/home/docky/apps/exp/images/76B.jpeg,0,0,0,0,0,4,4,4,104.49333138699876,None,104.49333138699876,None,1,5.22757758100488,104.49333138699876,None,109.75488602199766,None,109.75488602199766,None,112.2595797469985,None,112.2595797469985,None,1.9686819839989766,114.0613993099978,None,114.0613993099978,None,5,1,1.0847015280014602,116.01641537500109,None,116.01641537500109,None,116.01641537500109,None,117.11762146800174,None,1,0.6016749730042648,117.11762146800174,None,10,117.73588652599574,None,106,B,1,2021_May_20_1807,GazeFlow,2020.1.2,59.90809965553004,
1,Block809.xls,B,9,6,36,36,None,congruent,Right,Right,Left,79,73,6,blue,2,5,/home/docky/apps/exp/images/79Bi.jpeg,/home/docky/apps/exp/images/73B.jpeg,0,0,0,0,0,5,5,5,118.73822846799885,None,118.73822846799885,None,1,4.559050422998553,118.73822846799885,None,123.33107414699771,None,123.33107414699771,None,125.83569245800027,None,125.83569245800027,None,1.2675685119975242,127.63345261899667,None,127.63345261899667,None,5,1,0.9845855149978888,128.89137402099732,None,128.89137402099732,None,128.89137402099732,None,129.892945186999,None,1,0.6678967690022546,129.892945186999,None,12,130.57721106499957,None,106,B,1,2021_May_20_1807,GazeFlow,2020.1.2,59.90809965553004,
1,Block809.xls,B,9,7,78,78,None,congruent,Right,Right,Left,39,38,1,yellow,2,5,/home/docky/apps/exp/images/39Yi.jpeg,/home/docky/apps/exp/images/38Y.jpeg,0,0,0,0,0,6,6,6,131.5794159500001,None,131.5794159500001,None,1,5.143889371000114,131.5794159500001,None,136.75724808999803,None,136.75724808999803,None,139.2629136050018,None,139.2629136050018,None,1.8519263970010797,141.0631321519977,None,141.0631321519977,None,5,1,1.101531320004142,142.90205672499724,None,142.90205672499724,None,142.90205672499724,None,144.02023375799763,None,1,0.6848489789990708,144.02023375799763,None,14,144.72115521100204,None,106,B,1,2021_May_20_1807,GazeFlow,2020.1.2,59.90809965553004,
1,Block809.xls,B,9,8,29,29,None,congruent,Right,Right,Left,38,35,3,blue,2,5,/home/docky/apps/exp/images/38B.jpeg,/home/docky/apps/exp/images/35Bi.jpeg,0,0,0,0,0,7,7,7,145.72389113799727,None,145.72389113799727,None,1,4.492838219004625,145.72389113799727,None,150.25168728599965,None,150.25168728599965,None,152.75311192699883,None,152.75311192699883,None,1.718187136000779,154.5508059049971,None,154.5508059049971,None,5,1,1.0521505910000997,156.2610780479954,None,156.2610780479954,None,156.2610780479954,None,157.32973742499598,None,1,0.7843081030005123,157.32973742499598,None,16,158.13072465799632,None,106,B,1,2021_May_20_1807,GazeFlow,2020.1.2,59.90809965553004,
1,Block809.xls,B,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,B,1,2021_May_20_1807,GazeFlow,2020.1.2,59.90809965553004,
2,Block805.xls,B,5,1,16,16,None,congruent,Left,Left,Right,73,76,3,blue,2,6,/home/docky/apps/exp/images/73B.jpeg,/home/docky/apps/exp/images/76Bi.jpeg,0,1,1,1,0,0,0,0,177.12076574000093,None,177.12076574000093,None,1,7.855018833994109,177.12076574000093,None,184.998022957996,None,184.998022957996,None,187.52240661199903,None,187.52240661199903,None,1.801528228999814,189.32429920700088,None,189.32429920700088,None,6,1,1.0014635449988418,191.112186817998,None,191.112186817998,None,191.112186817998,None,192.13032704000216,None,1,0.6849780519987689,192.13032704000216,None,18,192.83165170800203,None,106,B,1,2021_May_20_1807,GazeFlow,2020.1.2,59.90809965553004,
