Nblock,condsFile,grouping,Block,TrialBlock,N,trialN,trialCond,gazeCon,gazedirR,corrBinR,corrBinP,valLBY,valRBY,diff,colorCube,feedbacktext,corrAns,imageL,imageR,SelBlocks.thisRepN,SelBlocks.thisTrialN,SelBlocks.thisN,SelBlocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,waitCube.started,waitCube.stopped,text_3.started,text_3.stopped,StartKeyPress.keys,StartKeyPress.rt,StartKeyPress.started,StartKeyPress.stopped,StimL.started,StimL.stopped,StimR.started,StimR.stopped,imageStim2L.started,imageStim2L.stopped,imageStim2R.started,imageStim2R.stopped,RTkeyRelease,imageStim3L.started,imageStim3L.stopped,imageStim3R.started,imageStim3R.stopped,dropResp.keys,dropResp.corr,dropResp.rt,dropResp.started,dropResp.stopped,imageStim5L.started,imageStim5L.stopped,imageStim5R.started,imageStim5R.stopped,text_2.started,text_2.stopped,ReturnSpace.keys,ReturnSpace.rt,ReturnSpace.started,ReturnSpace.stopped,totalpoints,textFeedback.started,textFeedback.stopped,participant,group,session,date,expName,psychopyVersion,frameRate,
1,Block809.xls,B,9,1,93,93,None,congruent,Right,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Y.jpeg,/home/docky/apps/exp/images/79Yi.jpeg,0,0,0,0,0,0,0,0,81.30117389699444,None,81.30117389699444,None,1,4.597099959035404,81.30117389699444,None,85.93375916499645,None,85.93375916499645,None,88.4484878279618,None,88.4484878279618,None,1.4507567919790745,90.2521074799588,None,90.2521074799588,None,5,1,1.0186853670165874,91.68505144998198,None,91.68505144998198,None,91.68505144998198,None,92.72028245398542,None,1,0.9849956899997778,92.72028245398542,None,2,93.72200256999349,None,116,B,1,2021_May_25_0925,GazeFlow,2020.1.2,59.94262650745422,
1,Block809.xls,B,9,2,15,15,None,congruent,Left,Left,Right,38,39,1,blue,2,6,/home/docky/apps/exp/images/38B.jpeg,/home/docky/apps/exp/images/39Bi.jpeg,0,0,0,0,0,1,1,1,94.7242576709832,None,94.7242576709832,None,1,6.7967248760396615,94.7242576709832,None,101.55498227098724,None,101.55498227098724,None,104.06380289699882,None,104.06380289699882,None,1.1168410510290414,105.86309806600912,None,105.86309806600912,None,6,1,1.2015170700033195,106.96486203599488,None,106.96486203599488,None,106.96486203599488,None,108.1832093920093,None,1,1.068880106031429,108.1832093920093,None,4,109.26868531800574,None,116,B,1,2021_May_25_0925,GazeFlow,2020.1.2,59.94262650745422,
1,Block809.xls,B,9,3,117,21,None,incongruent,Left,Right,Left,39,38,1,yellow,2,5,/home/docky/apps/exp/images/39Yi.jpeg,/home/docky/apps/exp/images/38Y.jpeg,0,0,0,0,0,2,2,2,110.27114969899412,None,110.27114969899412,None,1,7.381155505019706,110.27114969899412,None,117.6861764100031,None,117.6861764100031,None,120.19095153699163,None,120.19095153699163,None,1.4842456800397485,121.99288241396425,None,121.99288241396425,None,6,0,1.2520977759850211,123.46369476697873,None,123.46369476697873,None,123.46369476697873,None,124.73251839895966,None,1,0.7343229750404134,124.73251839895966,None,2,125.48325831501279,None,116,B,1,2021_May_25_0925,GazeFlow,2020.1.2,59.94262650745422,
1,Block809.xls,B,9,4,94,94,None,congruent,Right,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Y.jpeg,/home/docky/apps/exp/images/79Yi.jpeg,0,0,0,0,0,3,3,3,126.48556248599198,None,126.48556248599198,None,1,6.530055071983952,126.48556248599198,None,133.04938111297088,None,133.04938111297088,None,135.55183398997178,None,135.55183398997178,None,1.016690117015969,137.35556116898078,None,137.35556116898078,None,5,1,1.2350518070161343,138.35899896395858,None,138.35899896395858,None,138.35899896395858,None,139.61098422197392,None,1,0.868273010943085,139.61098422197392,None,4,140.49583234800957,None,116,B,1,2021_May_25_0925,GazeFlow,2020.1.2,59.94262650745422,
1,Block809.xls,B,9,5,41,41,None,congruent,Right,Right,Left,79,76,3,blue,2,5,/home/docky/apps/exp/images/79Bi.jpeg,/home/docky/apps/exp/images/76B.jpeg,0,0,0,0,0,4,4,4,141.49796112597687,None,141.49796112597687,None,1,7.8156667980365455,141.49796112597687,None,149.3475331160007,None,149.3475331160007,None,151.8529990009847,None,151.8529990009847,None,1.8013557409867644,153.65402553300373,None,153.65402553300373,None,6,0,1.3691881600534543,155.44199457101058,None,155.44199457101058,None,155.44199457101058,None,156.82765888998983,None,1,0.7848064490244724,156.82765888998983,None,2,157.62962277897168,None,116,B,1,2021_May_25_0925,GazeFlow,2020.1.2,59.94262650745422,
1,Block809.xls,B,9,6,36,36,None,congruent,Right,Right,Left,79,73,6,blue,2,5,/home/docky/apps/exp/images/79Bi.jpeg,/home/docky/apps/exp/images/73B.jpeg,0,0,0,0,0,5,5,5,158.63164759398205,None,158.63164759398205,None,1,6.430235527979676,158.63164759398205,None,165.0946523490129,None,165.0946523490129,None,167.59952192899073,None,167.59952192899073,None,0.9837755350163206,169.4030666569597,None,169.4030666569597,None,5,1,1.2517817839980125,170.37135490897344,None,170.37135490897344,None,170.37135490897344,None,171.6398772529792,None,1,0.7360107880085707,171.6398772529792,None,4,172.3911719530006,None,116,B,1,2021_May_25_0925,GazeFlow,2020.1.2,59.94262650745422,
1,Block809.xls,B,9,7,78,78,None,congruent,Right,Right,Left,39,38,1,yellow,2,5,/home/docky/apps/exp/images/39Yi.jpeg,/home/docky/apps/exp/images/38Y.jpeg,0,0,0,0,0,6,6,6,173.39325130800717,None,173.39325130800717,None,1,6.096330625005066,173.39325130800717,None,179.52294761198573,None,179.52294761198573,None,182.02604274998885,None,182.02604274998885,None,1.1835540200117975,183.82899595296476,None,183.82899595296476,None,5,1,1.2022385969758034,184.99969712400343,None,184.99969712400343,None,184.99969712400343,None,186.21853156900033,None,1,0.700958134024404,186.21853156900033,None,6,186.9362443590071,None,116,B,1,2021_May_25_0925,GazeFlow,2020.1.2,59.94262650745422,
1,Block809.xls,B,9,8,29,29,None,congruent,Right,Right,Left,38,35,3,blue,2,5,/home/docky/apps/exp/images/38B.jpeg,/home/docky/apps/exp/images/35Bi.jpeg,0,0,0,0,0,7,7,7,187.93788928096183,None,187.93788928096183,None,1,6.697623364976607,187.93788928096183,None,194.66926894598873,None,194.66926894598873,None,197.17345901497174,None,197.17345901497174,None,0.9833214419777505,198.97560815600445,None,198.97560815600445,None,5,1,1.2019264440168627,199.9453394919983,None,199.9453394919983,None,199.9453394919983,None,201.16365220496664,None,1,0.7515713620232418,201.16365220496664,None,8,201.93199756997637,None,116,B,1,2021_May_25_0925,GazeFlow,2020.1.2,59.94262650745422,
1,Block809.xls,B,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,B,1,2021_May_25_0925,GazeFlow,2020.1.2,59.94262650745422,
2,Block805.xls,B,5,1,16,16,None,congruent,Left,Left,Right,73,76,3,blue,2,6,/home/docky/apps/exp/images/73B.jpeg,/home/docky/apps/exp/images/76Bi.jpeg,0,1,1,1,0,0,0,0,227.18849670200143,None,227.18849670200143,None,1,7.379931634000968,227.18849670200143,None,234.5983709289576,None,234.5983709289576,None,237.11802863096818,None,237.11802863096818,None,0.8994294089497998,238.92166242800886,None,238.92166242800886,None,6,1,1.184972805029247,239.8061350969947,None,239.8061350969947,None,239.8061350969947,None,241.00789995398372,None,1,0.7018278990290128,241.00789995398372,None,10,241.7262883229996,None,116,B,1,2021_May_25_0925,GazeFlow,2020.1.2,59.94262650745422,
