Nblock,condsFile,grouping,Block,TrialBlock,N,trialN,trialCond,gazeCon,gazedirR,corrBinR,corrBinP,valLBY,valRBY,diff,colorCube,feedbacktext,corrAns,imageL,imageR,SelBlocks.thisRepN,SelBlocks.thisTrialN,SelBlocks.thisN,SelBlocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,waitCube.started,waitCube.stopped,text_3.started,text_3.stopped,StartKeyPress.keys,StartKeyPress.rt,StartKeyPress.started,StartKeyPress.stopped,StimL.started,StimL.stopped,StimR.started,StimR.stopped,imageStim2L.started,imageStim2L.stopped,imageStim2R.started,imageStim2R.stopped,RTkeyRelease,imageStim3L.started,imageStim3L.stopped,imageStim3R.started,imageStim3R.stopped,dropResp.keys,dropResp.corr,dropResp.rt,dropResp.started,dropResp.stopped,imageStim5L.started,imageStim5L.stopped,imageStim5R.started,imageStim5R.stopped,text_2.started,text_2.stopped,ReturnSpace.keys,ReturnSpace.rt,ReturnSpace.started,ReturnSpace.stopped,totalpoints,textFeedback.started,textFeedback.stopped,participant,group,session,date,expName,psychopyVersion,frameRate,
1,Block809.xls,B,9,1,93,93,None,congruent,Right,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Y.jpeg,/home/docky/apps/exp/images/79Yi.jpeg,0,0,0,0,0,0,0,0,47.713969344011275,None,47.713969344011275,None,1,5.799699538009008,47.713969344011275,None,53.54144001900568,None,53.54144001900568,None,56.06179094300023,None,56.06179094300023,None,1.767611996998312,57.86258795802132,None,57.86258795802132,None,5,1,1.3689422699972056,59.617362955003045,None,59.617362955003045,None,59.617362955003045,None,61.00260471602087,None,1,1.186620959022548,61.00260471602087,None,2,62.20571844201186,None,137,B,1,2021_May_31_1453,GazeFlow,2020.1.2,59.85046517055436,
1,Block809.xls,B,9,2,15,15,None,congruent,Left,Left,Right,38,39,1,blue,2,6,/home/docky/apps/exp/images/38B.jpeg,/home/docky/apps/exp/images/39Bi.jpeg,0,0,0,0,0,1,1,1,63.20745465400978,None,63.20745465400978,None,1,5.6283351099991705,63.20745465400978,None,68.86901188400225,None,68.86901188400225,None,71.37777921502129,None,71.37777921502129,None,2.8375928179884795,73.175867612008,None,73.175867612008,None,5,0,2.7402580180205405,76.01479036401724,None,76.01479036401724,None,76.01479036401724,None,78.77101116999984,None,1,1.1861376599990763,78.77101116999984,None,0,79.97342260699952,None,137,B,1,2021_May_31_1453,GazeFlow,2020.1.2,59.85046517055436,
1,Block809.xls,B,9,3,117,21,None,incongruent,Left,Right,Left,39,38,1,yellow,2,5,/home/docky/apps/exp/images/39Yi.jpeg,/home/docky/apps/exp/images/38Y.jpeg,0,0,0,0,0,2,2,2,80.97533430100884,None,80.97533430100884,None,1,6.162208927999018,80.97533430100884,None,87.17279761901591,None,87.17279761901591,None,89.67617257501115,None,89.67617257501115,None,1.7182874940044712,91.47808406502008,None,91.47808406502008,None,6,0,1.9362884900183417,93.18259574600961,None,93.18259574600961,None,93.18259574600961,None,95.13556975399842,None,1,0.9856995889858808,95.13556975399842,None,-2,96.1377810210106,None,137,B,1,2021_May_31_1453,GazeFlow,2020.1.2,59.85046517055436,
1,Block809.xls,B,9,4,94,94,None,congruent,Right,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Y.jpeg,/home/docky/apps/exp/images/79Yi.jpeg,0,0,0,0,0,3,3,3,97.14018367399694,None,97.14018367399694,None,1,5.660939841007348,97.14018367399694,None,102.834975492995,None,102.834975492995,None,105.33805102901533,None,105.33805102901533,None,2.1191862899868283,107.14163467800245,None,107.14163467800245,None,5,1,1.7197269549942575,109.2470028079988,None,109.2470028079988,None,109.2470028079988,None,110.98315971999546,None,1,1.0364761679957155,110.98315971999546,None,0,112.03575510901283,None,137,B,1,2021_May_31_1453,GazeFlow,2020.1.2,59.85046517055436,
1,Block809.xls,B,9,5,41,41,None,congruent,Right,Right,Left,79,76,3,blue,2,5,/home/docky/apps/exp/images/79Bi.jpeg,/home/docky/apps/exp/images/76B.jpeg,0,0,0,0,0,4,4,4,113.03776437300257,None,113.03776437300257,None,1,6.2123578239989,113.03776437300257,None,119.28382235899335,None,119.28382235899335,None,121.78864999601501,None,121.78864999601501,None,2.2192000020004343,123.59258737901109,None,123.59258737901109,None,5,1,1.986765490990365,125.79616725500091,None,125.79616725500091,None,125.79616725500091,None,127.79905395201058,None,1,0.8192634589795489,127.79905395201058,None,2,128.6346698590205,None,137,B,1,2021_May_31_1453,GazeFlow,2020.1.2,59.85046517055436,
1,Block809.xls,B,9,6,36,36,None,congruent,Right,Right,Left,79,73,6,blue,2,5,/home/docky/apps/exp/images/79Bi.jpeg,/home/docky/apps/exp/images/73B.jpeg,0,0,0,0,0,5,5,5,129.6366695490142,None,129.6366695490142,None,1,6.3297122929943725,129.6366695490142,None,135.99959247300285,None,135.99959247300285,None,138.50264720700216,None,138.50264720700216,None,1.467604734993074,140.30669199701515,None,140.30669199701515,None,5,1,1.786647961998824,141.76034722299664,None,141.76034722299664,None,141.76034722299664,None,143.56328227100312,None,1,1.2696114520076662,143.56328227100312,None,4,144.84955854600412,None,137,B,1,2021_May_31_1453,GazeFlow,2020.1.2,59.85046517055436,
1,Block809.xls,B,9,7,78,78,None,congruent,Right,Right,Left,39,38,1,yellow,2,5,/home/docky/apps/exp/images/39Yi.jpeg,/home/docky/apps/exp/images/38Y.jpeg,0,0,0,0,0,6,6,6,145.85155933900387,None,145.85155933900387,None,1,6.796847346005961,145.85155933900387,None,152.6804773840122,None,152.6804773840122,None,155.18521445599617,None,155.18521445599617,None,1.8519483229902107,156.98913679501857,None,156.98913679501857,None,5,1,2.0871653920039535,158.82695252500707,None,158.82695252500707,None,158.82695252500707,None,160.9304937100096,None,1,1.1027362550084945,160.9304937100096,None,6,162.0499119720189,None,137,B,1,2021_May_31_1453,GazeFlow,2020.1.2,59.85046517055436,
1,Block809.xls,B,9,8,29,29,None,congruent,Right,Right,Left,38,35,3,blue,2,5,/home/docky/apps/exp/images/38B.jpeg,/home/docky/apps/exp/images/35Bi.jpeg,0,0,0,0,0,7,7,7,163.0516791450209,None,163.0516791450209,None,1,6.396391192014562,163.0516791450209,None,169.48157265401096,None,169.48157265401096,None,171.98608069401234,None,171.98608069401234,None,1.4008481259807013,173.78252981501282,None,173.78252981501282,None,5,1,1.719452786986949,175.1753824170155,None,175.1753824170155,None,175.1753824170155,None,176.91165593199548,None,1,1.0349727009888738,176.91165593199548,None,8,177.9635092249955,None,137,B,1,2021_May_31_1453,GazeFlow,2020.1.2,59.85046517055436,
1,Block809.xls,B,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,B,1,2021_May_31_1453,GazeFlow,2020.1.2,59.85046517055436,
2,Block805.xls,B,5,1,16,16,None,congruent,Left,Left,Right,73,76,3,blue,2,6,/home/docky/apps/exp/images/73B.jpeg,/home/docky/apps/exp/images/76Bi.jpeg,0,1,1,1,0,0,0,0,198.5057646050118,None,198.5057646050118,None,1,8.173891051992541,198.5057646050118,None,206.704240460007,None,206.704240460007,None,209.22559068299597,None,209.22559068299597,None,1.1493897369946353,211.02906535600778,None,211.02906535600778,None,6,1,2.1036055579897948,212.1639524580096,None,212.1639524580096,None,212.1639524580096,None,214.28427324802033,None,1,0.9352549010072835,214.28427324802033,None,10,215.2362504969933,None,137,B,1,2021_May_31_1453,GazeFlow,2020.1.2,59.85046517055436,
