Nblock,condsFile,grouping,Block,TrialBlock,N,trialN,trialCond,gazeCon,gazedirR,corrBinR,corrBinP,valLBY,valRBY,diff,colorCube,feedbacktext,corrAns,imageL,imageR,SelBlocks.thisRepN,SelBlocks.thisTrialN,SelBlocks.thisN,SelBlocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,waitCube.started,waitCube.stopped,text_3.started,text_3.stopped,StartKeyPress.keys,StartKeyPress.rt,StartKeyPress.started,StartKeyPress.stopped,StimL.started,StimL.stopped,StimR.started,StimR.stopped,imageStim2L.started,imageStim2L.stopped,imageStim2R.started,imageStim2R.stopped,RTkeyRelease,imageStim3L.started,imageStim3L.stopped,imageStim3R.started,imageStim3R.stopped,dropResp.keys,dropResp.corr,dropResp.rt,dropResp.started,dropResp.stopped,imageStim5L.started,imageStim5L.stopped,imageStim5R.started,imageStim5R.stopped,text_2.started,text_2.stopped,ReturnSpace.keys,ReturnSpace.rt,ReturnSpace.started,ReturnSpace.stopped,totalpoints,textFeedback.started,textFeedback.stopped,participant,group,session,date,expName,psychopyVersion,frameRate,
1,Block502.xls,A,2,1,93,33,22,incongruent,Left,Right,Left,38,35,3,blue,2,5,/home/docky/apps/exp/images/38B.jpeg,/home/docky/apps/exp/images/35Bi.jpeg,0,0,0,0,0,0,0,0,44.6970911540011,None,44.6970911540011,None,1,28.15762284200173,44.6970911540011,None,72.89412313200228,None,72.89412313200228,None,75.40898807299891,None,75.40898807299891,None,1.350457942000503,77.2100718239999,None,77.2100718239999,None,5,1,1.5195391660017776,78.54379829800018,None,78.54379829800018,None,78.54379829800018,None,80.07978999700208,None,1,0.7679669300014211,80.07978999700208,None,2,80.8640679630007,None,125,A,1,2021_May_27_1508,GazeFlow,2020.1.2,59.87680001165658,
1,Block502.xls,A,2,2,42,42,12,congruent,Right,Right,Left,83,80,3,blue,2,5,/home/docky/apps/exp/images/83Bi.jpeg,/home/docky/apps/exp/images/80B.jpeg,0,0,0,0,0,1,1,1,81.86692775600022,None,81.86692775600022,None,1,5.760726514999988,81.86692775600022,None,87.66181764000066,None,87.66181764000066,None,90.16786476100242,None,90.16786476100242,None,1.6179287140002998,91.96846914699927,None,91.96846914699927,None,5,1,1.6691577620003955,93.5725703470016,None,93.5725703470016,None,93.5725703470016,None,95.25825292900117,None,1,0.7022790199989686,95.25825292900117,None,4,95.97676081100144,None,125,A,1,2021_May_27_1508,GazeFlow,2020.1.2,59.87680001165658,
1,Block502.xls,A,2,3,9,9,11,congruent,Left,Left,Right,38,39,1,blue,2,6,/home/docky/apps/exp/images/38Bi.jpeg,/home/docky/apps/exp/images/39B.jpeg,0,0,0,0,0,2,2,2,96.97894872899997,None,96.97894872899997,None,1,5.495247352999286,96.97894872899997,None,102.5078568630015,None,102.5078568630015,None,105.01172828600102,None,105.01172828600102,None,5.158580234998226,106.81346801100153,None,106.81346801100153,None,6,1,1.4033183959982125,111.97357749100047,None,111.97357749100047,None,111.97357749100047,None,113.39340593399902,None,1,0.6681633909975062,113.39340593399902,None,6,114.07795533900207,None,125,A,1,2021_May_27_1508,GazeFlow,2020.1.2,59.87680001165658,
1,Block502.xls,A,2,4,23,23,11,congruent,Left,Left,Right,38,39,1,yellow,2,6,/home/docky/apps/exp/images/38Yi.jpeg,/home/docky/apps/exp/images/39Y.jpeg,0,0,0,0,0,3,3,3,115.08051333299954,None,115.08051333299954,None,1,6.329335897997225,115.08051333299954,None,121.44371554800091,None,121.44371554800091,None,123.95002626100177,None,123.95002626100177,None,2.252687223000976,125.75169106999965,None,125.75169106999965,None,6,1,1.5529318150001927,127.98882788600167,None,127.98882788600167,None,127.98882788600167,None,129.55819449400224,None,1,0.6676417679991573,129.55819449400224,None,8,130.242658354,None,125,A,1,2021_May_27_1508,GazeFlow,2020.1.2,59.87680001165658,
1,Block502.xls,A,2,5,57,57,12,congruent,Right,Right,Left,77,72,5,yellow,2,5,/home/docky/apps/exp/images/77Y.jpeg,/home/docky/apps/exp/images/72Yi.jpeg,0,0,0,0,0,4,4,4,131.24506149100125,None,131.24506149100125,None,1,5.828566119002062,131.24506149100125,None,137.10703492600078,None,137.10703492600078,None,139.61165175000133,None,139.61165175000133,None,1.5344424709983286,141.4081070409993,None,141.4081070409993,None,5,1,1.43554087099983,142.9343793859989,None,142.9343793859989,None,142.9343793859989,None,144.38662355799897,None,1,0.768168065998907,144.38662355799897,None,10,145.17171846900237,None,125,A,1,2021_May_27_1508,GazeFlow,2020.1.2,59.87680001165658,
1,Block502.xls,A,2,6,118,58,22,incongruent,Left,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Yi.jpeg,/home/docky/apps/exp/images/79Y.jpeg,0,0,0,0,0,5,5,5,146.17383248999977,None,146.17383248999977,None,1,6.245638762000453,146.17383248999977,None,152.45326889599892,None,152.45326889599892,None,154.95769513300183,None,154.95769513300183,None,7.195752937001089,156.75994862100197,None,156.75994862100197,None,5,1,1.235922120999021,163.95743158000187,None,163.95743158000187,None,163.95743158000187,None,165.21014727700094,None,1,0.7185694100007822,165.21014727700094,None,12,165.94516149799892,None,125,A,1,2021_May_27_1508,GazeFlow,2020.1.2,59.87680001165658,
1,Block502.xls,A,2,7,101,41,22,incongruent,Left,Right,Left,83,80,3,blue,2,5,/home/docky/apps/exp/images/83Bi.jpeg,/home/docky/apps/exp/images/80B.jpeg,0,0,0,0,0,6,6,6,166.9472492060013,None,166.9472492060013,None,1,6.629668785000831,166.9472492060013,None,173.6119100470023,None,173.6119100470023,None,176.11391758900209,None,176.11391758900209,None,1.8518284579986357,177.91882921700017,None,177.91882921700017,None,5,1,1.4856661119993078,179.75542816400048,None,179.75542816400048,None,179.75542816400048,None,181.25751519199912,None,1,0.7351638870022725,181.25751519199912,None,14,182.00902245100224,None,125,A,1,2021_May_27_1508,GazeFlow,2020.1.2,59.87680001165658,
1,Block502.xls,A,2,8,69,9,21,incongruent,Right,Left,Right,73,76,3,blue,2,6,/home/docky/apps/exp/images/73B.jpeg,/home/docky/apps/exp/images/76Bi.jpeg,0,0,0,0,0,7,7,7,183.01130775899946,None,183.01130775899946,None,1,5.727998798000044,183.01130775899946,None,188.7732547630003,None,188.7732547630003,None,191.27779064800052,None,191.27779064800052,None,2.3364143379985762,193.07969044200217,None,193.07969044200217,None,6,1,2.4379822179980692,195.41905394700007,None,195.41905394700007,None,195.41905394700007,None,197.87352224400092,None,1,0.7686899279979116,197.87352224400092,None,16,198.6581480800014,None,125,A,1,2021_May_27_1508,GazeFlow,2020.1.2,59.87680001165658,
1,Block502.xls,A,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,A,1,2021_May_27_1508,GazeFlow,2020.1.2,59.87680001165658,
2,Block506.xls,A,6,1,120,60,22,incongruent,Left,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Yi.jpeg,/home/docky/apps/exp/images/79Y.jpeg,0,1,1,1,0,0,0,0,215.9599081990018,None,215.9599081990018,None,1,7.551739741000347,215.9599081990018,None,223.54657689300075,None,223.54657689300075,None,226.06201692600007,None,226.06201692600007,None,2.202054387998942,227.8653694429995,None,227.8653694429995,None,5,1,1.686413518000336,230.05231430099957,None,230.05231430099957,None,230.05231430099957,None,231.7550313790016,None,1,0.6853728409987525,231.7550313790016,None,18,232.45663618600156,None,125,A,1,2021_May_27_1508,GazeFlow,2020.1.2,59.87680001165658,
