Nblock,condsFile,grouping,Block,TrialBlock,N,trialN,trialCond,gazeCon,gazedirR,corrBinR,corrBinP,valLBY,valRBY,diff,colorCube,feedbacktext,corrAns,imageL,imageR,SelBlocks.thisRepN,SelBlocks.thisTrialN,SelBlocks.thisN,SelBlocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,waitCube.started,waitCube.stopped,text_3.started,text_3.stopped,StartKeyPress.keys,StartKeyPress.rt,StartKeyPress.started,StartKeyPress.stopped,StimL.started,StimL.stopped,StimR.started,StimR.stopped,imageStim2L.started,imageStim2L.stopped,imageStim2R.started,imageStim2R.stopped,RTkeyRelease,imageStim3L.started,imageStim3L.stopped,imageStim3R.started,imageStim3R.stopped,dropResp.keys,dropResp.corr,dropResp.rt,dropResp.started,dropResp.stopped,imageStim5L.started,imageStim5L.stopped,imageStim5R.started,imageStim5R.stopped,text_2.started,text_2.stopped,ReturnSpace.keys,ReturnSpace.rt,ReturnSpace.started,ReturnSpace.stopped,totalpoints,textFeedback.started,textFeedback.stopped,participant,group,session,date,expName,psychopyVersion,frameRate,
1,Block809.xls,B,9,1,93,93,None,congruent,Right,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Y.jpeg,/home/docky/apps/exp/images/79Yi.jpeg,0,0,0,0,0,0,0,0,92.26774781100175,None,92.26774781100175,None,1,3.1602002539984824,92.26774781100175,None,95.4598429760008,None,95.4598429760008,None,97.97829977700167,None,97.97829977700167,None,7.629538851000689,99.78204192500198,None,99.78204192500198,None,5,1,11.536905695000314,107.41395617000308,None,107.41395617000308,None,107.41395617000308,None,118.96710305600209,None,1,1.7373712869994051,118.96710305600209,None,2,120.72075753300305,None,133,B,1,2021_May_28_1754,GazeFlow,2020.1.2,59.85569868441462,
1,Block809.xls,B,9,2,15,15,None,congruent,Left,Left,Right,38,39,1,blue,2,6,/home/docky/apps/exp/images/38B.jpeg,/home/docky/apps/exp/images/39Bi.jpeg,0,0,0,0,0,1,1,1,121.72273619100088,None,121.72273619100088,None,1,5.009966699999495,121.72273619100088,None,126.76643140200031,None,126.76643140200031,None,129.27143995799997,None,129.27143995799997,None,0.5993999749989598,131.07318261100227,None,131.07318261100227,None,6,1,4.409426293997967,131.65856686900224,None,131.65856686900224,None,131.65856686900224,None,136.08382805800284,None,1,0.8188536279994878,136.08382805800284,None,4,136.91892062600164,None,133,B,1,2021_May_28_1754,GazeFlow,2020.1.2,59.85569868441462,
1,Block809.xls,B,9,3,117,21,None,incongruent,Left,Right,Left,39,38,1,yellow,2,5,/home/docky/apps/exp/images/39Yi.jpeg,/home/docky/apps/exp/images/38Y.jpeg,0,0,0,0,0,2,2,2,137.92086168000242,None,137.92086168000242,None,1,4.759944378001819,137.92086168000242,None,142.7141453510012,None,142.7141453510012,None,145.21904435800025,None,145.21904435800025,None,0.18250243000147748,147.02023462500074,None,147.02023462500074,None,5,1,6.016670265998982,147.20075185800306,None,147.20075185800306,None,147.20075185800306,None,153.23389996600235,None,1,1.0693873829986842,153.23389996600235,None,6,154.3191448840007,None,133,B,1,2021_May_28_1754,GazeFlow,2020.1.2,59.85569868441462,
1,Block809.xls,B,9,4,94,94,None,congruent,Right,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Y.jpeg,/home/docky/apps/exp/images/79Yi.jpeg,0,0,0,0,0,3,3,3,155.32144453,None,155.32144453,None,1,4.909646439002245,155.32144453,None,160.26490072700108,None,160.26490072700108,None,162.76830728900313,None,162.76830728900313,None,1.1502543639981013,164.56680081700324,None,164.56680081700324,None,5,1,1.687028663000092,165.70831192200058,None,165.70831192200058,None,165.70831192200058,None,167.41153242099972,None,1,0.8845910170020943,167.41153242099972,None,8,168.3126907500009,None,133,B,1,2021_May_28_1754,GazeFlow,2020.1.2,59.85569868441462,
1,Block809.xls,B,9,5,41,41,None,congruent,Right,Right,Left,79,76,3,blue,2,5,/home/docky/apps/exp/images/79Bi.jpeg,/home/docky/apps/exp/images/76B.jpeg,0,0,0,0,0,4,4,4,169.3149547130015,None,169.3149547130015,None,1,4.776819211998372,169.3149547130015,None,174.12522903500212,None,174.12522903500212,None,176.62849039600042,None,176.62849039600042,None,1.1340738239996426,178.42626472100164,None,178.42626472100164,None,6,0,3.372682806002558,179.55206830600218,None,179.55206830600218,None,179.55206830600218,None,182.94107896200148,None,1,0.7192143729989766,182.94107896200148,None,6,183.67630921900127,None,133,B,1,2021_May_28_1754,GazeFlow,2020.1.2,59.85569868441462,
1,Block809.xls,B,9,6,36,36,None,congruent,Right,Right,Left,79,73,6,blue,2,5,/home/docky/apps/exp/images/79Bi.jpeg,/home/docky/apps/exp/images/73B.jpeg,0,0,0,0,0,5,5,5,184.67809794700224,None,184.67809794700224,None,1,3.9414716589999443,184.67809794700224,None,188.6517033150012,None,188.6517033150012,None,191.1583321370017,None,191.1583321370017,None,1.8853852120009833,192.9601509580025,None,192.9601509580025,None,5,1,1.7026978310022969,194.83171350200064,None,194.83171350200064,None,194.83171350200064,None,196.55093547700017,None,1,0.8190804929981823,196.55093547700017,None,8,197.38614104500084,None,133,B,1,2021_May_28_1754,GazeFlow,2020.1.2,59.85569868441462,
1,Block809.xls,B,9,7,78,78,None,congruent,Right,Right,Left,39,38,1,yellow,2,5,/home/docky/apps/exp/images/39Yi.jpeg,/home/docky/apps/exp/images/38Y.jpeg,0,0,0,0,0,6,6,6,198.38835546300106,None,198.38835546300106,None,1,5.494434216998343,198.38835546300106,None,203.9199358270016,None,203.9199358270016,None,206.41927641200164,None,206.41927641200164,None,2.26941553800134,208.22457410900097,None,208.22457410900097,None,5,1,1.6364185249985894,210.47839966200263,None,210.47839966200263,None,210.47839966200263,None,212.1311598350003,None,1,0.7017680419994576,212.1311598350003,None,10,212.84967250400223,None,133,B,1,2021_May_28_1754,GazeFlow,2020.1.2,59.85569868441462,
1,Block809.xls,B,9,8,29,29,None,congruent,Right,Right,Left,38,35,3,blue,2,5,/home/docky/apps/exp/images/38B.jpeg,/home/docky/apps/exp/images/35Bi.jpeg,0,0,0,0,0,7,7,7,213.85147828200206,None,213.85147828200206,None,1,4.793566083997575,213.85147828200206,None,218.67870500100253,None,218.67870500100253,None,221.18180945700078,None,221.18180945700078,None,2.454284833998827,222.96996939400196,None,222.96996939400196,None,5,1,1.7855053769999358,225.44151223399967,None,225.44151223399967,None,225.44151223399967,None,227.24409900600222,None,1,0.7686142060010752,227.24409900600222,None,12,228.0292386300025,None,133,B,1,2021_May_28_1754,GazeFlow,2020.1.2,59.85569868441462,
1,Block809.xls,B,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,B,1,2021_May_28_1754,GazeFlow,2020.1.2,59.85569868441462,
2,Block805.xls,B,5,1,16,16,None,congruent,Left,Left,Right,73,76,3,blue,2,6,/home/docky/apps/exp/images/73B.jpeg,/home/docky/apps/exp/images/76Bi.jpeg,0,1,1,1,0,0,0,0,250.29054243000064,None,250.29054243000064,None,1,5.481280341999081,250.29054243000064,None,255.80518069600294,None,255.80518069600294,None,258.32215298899973,None,258.32215298899973,None,2.034809518001566,260.1257404150019,None,260.1257404150019,None,6,1,1.519232948001445,262.145557672,None,262.145557672,None,262.145557672,None,263.68143663500086,None,1,0.7515407549981319,263.68143663500086,None,14,264.4499394100021,None,133,B,1,2021_May_28_1754,GazeFlow,2020.1.2,59.85569868441462,
