Nblock,condsFile,grouping,Block,TrialBlock,N,trialN,trialCond,gazeCon,gazedirR,corrBinR,corrBinP,valLBY,valRBY,diff,colorCube,feedbacktext,corrAns,imageL,imageR,SelBlocks.thisRepN,SelBlocks.thisTrialN,SelBlocks.thisN,SelBlocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,waitCube.started,waitCube.stopped,text_3.started,text_3.stopped,StartKeyPress.keys,StartKeyPress.rt,StartKeyPress.started,StartKeyPress.stopped,StimL.started,StimL.stopped,StimR.started,StimR.stopped,imageStim2L.started,imageStim2L.stopped,imageStim2R.started,imageStim2R.stopped,RTkeyRelease,imageStim3L.started,imageStim3L.stopped,imageStim3R.started,imageStim3R.stopped,dropResp.keys,dropResp.corr,dropResp.rt,dropResp.started,dropResp.stopped,imageStim5L.started,imageStim5L.stopped,imageStim5R.started,imageStim5R.stopped,text_2.started,text_2.stopped,ReturnSpace.keys,ReturnSpace.rt,ReturnSpace.started,ReturnSpace.stopped,totalpoints,textFeedback.started,textFeedback.stopped,participant,group,session,date,expName,psychopyVersion,frameRate,
1,Block809.xls,B,9,1,93,93,None,congruent,Right,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Y.jpeg,/home/docky/apps/exp/images/79Yi.jpeg,0,0,0,0,0,0,0,0,43.021923521000645,None,43.021923521000645,None,1,7.2536704070007545,43.021923521000645,None,50.3012686710008,None,50.3012686710008,None,52.8240913919999,None,52.8240913919999,None,0.949341817999084,54.627514347001124,None,54.627514347001124,None,6,0,0.7845955890006735,55.55954570600079,None,55.55954570600079,None,55.55954570600079,None,56.36108426100145,None,1,0.3838357620006718,56.36108426100145,None,-2,56.76149302200065,None,141,B,1,2021_Jun_01_1326,GazeFlow,2020.1.2,59.86052497684305,
1,Block809.xls,B,9,2,15,15,None,congruent,Left,Left,Right,38,39,1,blue,2,6,/home/docky/apps/exp/images/38B.jpeg,/home/docky/apps/exp/images/39Bi.jpeg,0,0,0,0,0,1,1,1,57.763529566000216,None,57.763529566000216,None,1,2.9564231269996526,57.763529566000216,None,60.75377929000024,None,60.75377929000024,None,63.25700326200058,None,63.25700326200058,None,1.2172040050008945,65.05971443599992,None,65.05971443599992,None,5,0,0.6840357249984663,66.2639235000006,None,66.2639235000006,None,66.2639235000006,None,66.96474250500069,None,1,0.40089549599906604,66.96474250500069,None,-4,67.38206112199987,None,141,B,1,2021_Jun_01_1326,GazeFlow,2020.1.2,59.86052497684305,
1,Block809.xls,B,9,3,117,21,None,incongruent,Left,Right,Left,39,38,1,yellow,2,5,/home/docky/apps/exp/images/39Yi.jpeg,/home/docky/apps/exp/images/38Y.jpeg,0,0,0,0,0,2,2,2,68.3839438820014,None,68.3839438820014,None,1,3.324091820999456,68.3839438820014,None,71.74190593999992,None,71.74190593999992,None,74.25022679500034,None,74.25022679500034,None,1.050194598001326,76.04852840500098,None,76.04852840500098,None,5,1,0.7008831050006847,77.0850874910011,None,77.0850874910011,None,77.0850874910011,None,77.80261149600119,None,1,0.367087320999417,77.80261149600119,None,-2,78.18661914100085,None,141,B,1,2021_Jun_01_1326,GazeFlow,2020.1.2,59.86052497684305,
1,Block809.xls,B,9,4,94,94,None,congruent,Right,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Y.jpeg,/home/docky/apps/exp/images/79Yi.jpeg,0,0,0,0,0,3,3,3,79.18843494500106,None,79.18843494500106,None,1,3.2407794020000438,79.18843494500106,None,82.46629635099998,None,82.46629635099998,None,84.96749373800048,None,84.96749373800048,None,1.1837006050009222,86.7689238030016,None,86.7689238030016,None,5,1,0.7009644350000599,87.93939713300097,None,87.93939713300097,None,87.93939713300097,None,88.65717745600159,None,1,0.33389784900100494,88.65717745600159,None,0,89.00751200300147,None,141,B,1,2021_Jun_01_1326,GazeFlow,2020.1.2,59.86052497684305,
1,Block809.xls,B,9,5,41,41,None,congruent,Right,Right,Left,79,76,3,blue,2,5,/home/docky/apps/exp/images/79Bi.jpeg,/home/docky/apps/exp/images/76B.jpeg,0,0,0,0,0,4,4,4,90.00942708799994,None,90.00942708799994,None,1,3.390667752000809,90.00942708799994,None,93.43384163000155,None,93.43384163000155,None,95.93877454600079,None,95.93877454600079,None,1.1671408840011281,97.74218079999991,None,97.74218079999991,None,5,1,0.7006517449990497,98.8941182360013,None,98.8941182360013,None,98.8941182360013,None,99.61145082300027,None,1,0.31740488700052083,99.61145082300027,None,2,99.94546409100076,None,141,B,1,2021_Jun_01_1326,GazeFlow,2020.1.2,59.86052497684305,
1,Block809.xls,B,9,6,36,36,None,congruent,Right,Right,Left,79,73,6,blue,2,5,/home/docky/apps/exp/images/79Bi.jpeg,/home/docky/apps/exp/images/73B.jpeg,0,0,0,0,0,5,5,5,100.94741125400105,None,100.94741125400105,None,1,3.0065598620003584,100.94741125400105,None,103.98949307500152,None,103.98949307500152,None,106.49073201100146,None,106.49073201100146,None,1.6345066879985097,108.29397385500124,None,108.29397385500124,None,5,1,0.6170683290001762,109.91557853199993,None,109.91557853199993,None,109.91557853199993,None,110.54961416300102,None,1,0.35121595800046634,110.54961416300102,None,4,110.91693354000017,None,141,B,1,2021_Jun_01_1326,GazeFlow,2020.1.2,59.86052497684305,
1,Block809.xls,B,9,7,78,78,None,congruent,Right,Right,Left,39,38,1,yellow,2,5,/home/docky/apps/exp/images/39Yi.jpeg,/home/docky/apps/exp/images/38Y.jpeg,0,0,0,0,0,6,6,6,111.91887849600062,None,111.91887849600062,None,1,2.706254110998998,111.91887849600062,None,114.65843182400022,None,114.65843182400022,None,117.16322520100039,None,117.16322520100039,None,1.0673272839994752,118.95975123500102,None,118.95975123500102,None,5,1,0.6504952989998856,120.01840712900048,None,120.01840712900048,None,120.01840712900048,None,120.68582056800005,None,1,0.23368185599974822,120.68582056800005,None,6,120.93643974600127,None,141,B,1,2021_Jun_01_1326,GazeFlow,2020.1.2,59.86052497684305,
1,Block809.xls,B,9,8,29,29,None,congruent,Right,Right,Left,38,35,3,blue,2,5,/home/docky/apps/exp/images/38B.jpeg,/home/docky/apps/exp/images/35Bi.jpeg,0,0,0,0,0,7,7,7,121.9380467280007,None,121.9380467280007,None,1,3.4911678770004073,121.9380467280007,None,125.462778901001,None,125.462778901001,None,127.96770486200148,None,127.96770486200148,None,0.9666766460013605,129.76942578200033,None,129.76942578200033,None,5,1,0.6673990170002071,130.72257453800012,None,130.72257453800012,None,130.72257453800012,None,131.40643615800036,None,1,0.18396959100027743,131.40643615800036,None,8,131.6068952580008,None,141,B,1,2021_Jun_01_1326,GazeFlow,2020.1.2,59.86052497684305,
1,Block809.xls,B,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,B,1,2021_Jun_01_1326,GazeFlow,2020.1.2,59.86052497684305,
2,Block805.xls,B,5,1,16,16,None,congruent,Left,Left,Right,73,76,3,blue,2,6,/home/docky/apps/exp/images/73B.jpeg,/home/docky/apps/exp/images/76Bi.jpeg,0,1,1,1,0,0,0,0,149.86087851500088,None,149.86087851500088,None,1,4.314406852001412,149.86087851500088,None,154.20554256500145,None,154.20554256500145,None,156.7233576310009,None,156.7233576310009,None,1.1996174759988207,158.52702515800047,None,158.52702515800047,None,6,1,0.9180501589999039,159.71194135299993,None,159.71194135299993,None,159.71194135299993,None,160.6465828119999,None,1,0.28451623099863355,160.6465828119999,None,10,160.94739341100103,None,141,B,1,2021_Jun_01_1326,GazeFlow,2020.1.2,59.86052497684305,
