Nblock,condsFile,grouping,Block,TrialBlock,N,trialN,trialCond,gazeCon,gazedirR,corrBinR,corrBinP,valLBY,valRBY,diff,colorCube,feedbacktext,corrAns,imageL,imageR,SelBlocks.thisRepN,SelBlocks.thisTrialN,SelBlocks.thisN,SelBlocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,waitCube.started,waitCube.stopped,text_3.started,text_3.stopped,StartKeyPress.keys,StartKeyPress.rt,StartKeyPress.started,StartKeyPress.stopped,StimL.started,StimL.stopped,StimR.started,StimR.stopped,imageStim2L.started,imageStim2L.stopped,imageStim2R.started,imageStim2R.stopped,RTkeyRelease,imageStim3L.started,imageStim3L.stopped,imageStim3R.started,imageStim3R.stopped,dropResp.keys,dropResp.corr,dropResp.rt,dropResp.started,dropResp.stopped,imageStim5L.started,imageStim5L.stopped,imageStim5R.started,imageStim5R.stopped,text_2.started,text_2.stopped,ReturnSpace.keys,ReturnSpace.rt,ReturnSpace.started,ReturnSpace.stopped,totalpoints,textFeedback.started,textFeedback.stopped,participant,group,session,date,expName,psychopyVersion,frameRate,
1,Block502.xls,A,2,1,93,33,22,incongruent,Left,Right,Left,38,35,3,blue,2,5,/home/docky/apps/exp/images/38B.jpeg,/home/docky/apps/exp/images/35Bi.jpeg,0,0,0,0,0,0,0,0,44.84855407500072,None,44.84855407500072,None,1,9.20410578800147,44.84855407500072,None,54.089988285999425,None,54.089988285999425,None,56.60454193999976,None,56.60454193999976,None,2.2186433329989086,58.40796139699887,None,58.40796139699887,None,5,1,1.1686312349993386,60.60991651199947,None,60.60991651199947,None,60.60991651199947,None,61.794960687999264,None,1,0.6345441730009043,61.794960687999264,None,2,62.44604734699897,None,149,A,1,2021_Jun_04_1757,GazeFlow,2020.1.2,59.852117984902875,
1,Block502.xls,A,2,2,42,42,12,congruent,Right,Right,Left,83,80,3,blue,2,5,/home/docky/apps/exp/images/83Bi.jpeg,/home/docky/apps/exp/images/80B.jpeg,0,0,0,0,0,1,1,1,63.4486012640009,None,63.4486012640009,None,1,5.594934475000628,63.4486012640009,None,69.07677576100104,None,69.07677576100104,None,71.5816904989988,None,71.5816904989988,None,2.537171854997723,73.38301888500064,None,73.38301888500064,None,5,1,1.0175478210003348,75.92347113900178,None,75.92347113900178,None,75.92347113900178,None,76.9576314190017,None,1,0.6349256569992576,76.9576314190017,None,4,77.60889053799838,None,149,A,1,2021_Jun_04_1757,GazeFlow,2020.1.2,59.852117984902875,
1,Block502.xls,A,2,3,9,9,11,congruent,Left,Left,Right,38,39,1,blue,2,6,/home/docky/apps/exp/images/38Bi.jpeg,/home/docky/apps/exp/images/39B.jpeg,0,0,0,0,0,2,2,2,78.61138861500149,None,78.61138861500149,None,1,10.236642430998472,78.61138861500149,None,88.88541115100088,None,88.88541115100088,None,91.38533793600072,None,91.38533793600072,None,0.7329601340024965,93.18332979900151,None,93.18332979900151,None,5,0,1.051373300000705,93.90792589800185,None,93.90792589800185,None,93.90792589800185,None,94.97607755699937,None,1,0.6688047679999727,94.97607755699937,None,2,95.66113261999999,None,149,A,1,2021_Jun_04_1757,GazeFlow,2020.1.2,59.852117984902875,
1,Block502.xls,A,2,4,23,23,11,congruent,Left,Left,Right,38,39,1,yellow,2,6,/home/docky/apps/exp/images/38Yi.jpeg,/home/docky/apps/exp/images/39Y.jpeg,0,0,0,0,0,3,3,3,96.6627105410007,None,96.6627105410007,None,1,6.580903961999866,96.6627105410007,None,103.27658663300099,None,103.27658663300099,None,105.7792641820015,None,105.7792641820015,None,0.8832897460015374,107.58322036900063,None,107.58322036900063,None,5,0,1.5698862059980456,108.45290060700063,None,108.45290060700063,None,108.45290060700063,None,110.03906504100087,None,1,0.7681216720011435,110.03906504100087,None,0,110.82340077399931,None,149,A,1,2021_Jun_04_1757,GazeFlow,2020.1.2,59.852117984902875,
1,Block502.xls,A,2,5,57,57,12,congruent,Right,Right,Left,77,72,5,yellow,2,5,/home/docky/apps/exp/images/77Y.jpeg,/home/docky/apps/exp/images/72Yi.jpeg,0,0,0,0,0,4,4,4,111.82541828399917,None,111.82541828399917,None,1,8.199979381999583,111.82541828399917,None,120.05755645699901,None,120.05755645699901,None,122.56237777899878,None,122.56237777899878,None,0.8330691019982623,124.36577329200009,None,124.36577329200009,None,5,1,1.0017776759996195,125.18534189099955,None,125.18534189099955,None,125.18534189099955,None,126.20348410700171,None,1,0.6683741779997945,126.20348410700171,None,2,126.8879398780009,None,149,A,1,2021_Jun_04_1757,GazeFlow,2020.1.2,59.852117984902875,
1,Block502.xls,A,2,6,118,58,22,incongruent,Left,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Yi.jpeg,/home/docky/apps/exp/images/79Y.jpeg,0,0,0,0,0,5,5,5,127.89030599599937,None,127.89030599599937,None,1,7.71573026400074,127.89030599599937,None,135.63952087199868,None,135.63952087199868,None,138.14218436300143,None,138.14218436300143,None,0.8663546419993509,139.945716582999,None,139.945716582999,None,5,1,1.0181781419996696,140.79882612800066,None,140.79882612800066,None,140.79882612800066,None,141.83352187499986,None,1,0.7184287449999829,141.83352187499986,None,4,142.56862244100193,None,149,A,1,2021_Jun_04_1757,GazeFlow,2020.1.2,59.852117984902875,
1,Block502.xls,A,2,7,101,41,22,incongruent,Left,Right,Left,83,80,3,blue,2,5,/home/docky/apps/exp/images/83Bi.jpeg,/home/docky/apps/exp/images/80B.jpeg,0,0,0,0,0,6,6,6,143.57019730899992,None,143.57019730899992,None,1,5.912394277998828,143.57019730899992,None,149.5164526490007,None,149.5164526490007,None,152.01932236100038,None,152.01932236100038,None,1.1169044519992894,153.82236561000173,None,153.82236561000173,None,5,1,0.8341318739985581,154.92648902400106,None,154.92648902400106,None,154.92648902400106,None,155.77754579099928,None,1,0.552091665998887,155.77754579099928,None,6,156.3454977170004,None,149,A,1,2021_Jun_04_1757,GazeFlow,2020.1.2,59.852117984902875,
1,Block502.xls,A,2,8,69,9,21,incongruent,Right,Left,Right,73,76,3,blue,2,6,/home/docky/apps/exp/images/73B.jpeg,/home/docky/apps/exp/images/76Bi.jpeg,0,0,0,0,0,7,7,7,157.3472651459997,None,157.3472651459997,None,1,6.697400458000629,157.3472651459997,None,164.0782099950011,None,164.0782099950011,None,166.58292462499958,None,166.58292462499958,None,0.715858201001538,168.38657375500043,None,168.38657375500043,None,6,1,0.9679617299989332,169.0872884900018,None,169.0872884900018,None,169.0872884900018,None,170.07201153699862,None,1,0.4840102989983279,170.07201153699862,None,8,170.57285084700197,None,149,A,1,2021_Jun_04_1757,GazeFlow,2020.1.2,59.852117984902875,
1,Block502.xls,A,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,A,1,2021_Jun_04_1757,GazeFlow,2020.1.2,59.852117984902875,
2,Block506.xls,A,6,1,120,60,22,incongruent,Left,Right,Left,80,79,1,yellow,2,5,/home/docky/apps/exp/images/80Yi.jpeg,/home/docky/apps/exp/images/79Y.jpeg,0,1,1,1,0,0,0,0,188.05732127400188,None,188.05732127400188,None,1,9.960780471999897,188.05732127400188,None,198.03973869399852,None,198.03973869399852,None,200.56570014300087,None,200.56570014300087,None,0.7825012359971879,202.36932401100057,None,202.36932401100057,None,5,1,0.9845901860026061,203.13667432000148,None,203.13667432000148,None,203.13667432000148,None,204.138097654999,None,1,0.7521756990026915,204.138097654999,None,10,204.9067981879998,None,149,A,1,2021_Jun_04_1757,GazeFlow,2020.1.2,59.852117984902875,
